id,name,description,ingredients,imageUrl,departmentId,department
1,Bandeja Paisa,"La bandeja paisa es el orgullo de la cocina paisa y uno de los platos más emblemáticos de Colombia. Originaria de Antioquia y los departamentos vecinos de Caldas, Risaralda y Quindío, refleja la tradición y riqueza cultural de esta región.","Frijoles, arroz, carne molida, chicharrón, huevo, plátano maduro, chorizo, arepa, aguacate.",https://apicolombiastorage.blob.core.windows.net/typicaldishes/1. Bandeja Paisa.jpg,2,"{'id': 2, 'name': 'Antioquia', 'description': 'Antioquia es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Medellín, la segunda ciudad más poblada del país. Está ubicado al noroccidente colombiano, en las regiones Andina y Caribe, limitando al norte con el mar Caribe (océano Atlántico), Córdoba y Bolívar, al este con Santander y Boyacá, al sur con Caldas y Risaralda, y al oeste con Chocó. Con unos 6 500 000 habitantes en 2015 es el departamento más poblado, y con 63 600 km², el sexto más extenso, superado por Amazonas, Vichada, Caquetá, Meta y Guainía.', 'cityCapitalId': 12, 'municipalities': 125, 'surface': 63612, 'population': 6887306, 'phonePrefix': '4', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
2,Sancocho Antioqueño,"El sancocho antioqueño es un plato típico de Antioquia, preparado con carne, plátano verde, mazorca, papa, yuca y condimentos, servido con arroz, aguacate y arepas, ideal para reuniones familiares y festividades.","Carne de res, pollo, plátano verde, yuca, papa, mazorca, cilantro.",https://apicolombiastorage.blob.core.windows.net/typicaldishes/2. Sancocho Antioqueno.jpg,2,"{'id': 2, 'name': 'Antioquia', 'description': 'Antioquia es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Medellín, la segunda ciudad más poblada del país. Está ubicado al noroccidente colombiano, en las regiones Andina y Caribe, limitando al norte con el mar Caribe (océano Atlántico), Córdoba y Bolívar, al este con Santander y Boyacá, al sur con Caldas y Risaralda, y al oeste con Chocó. Con unos 6 500 000 habitantes en 2015 es el departamento más poblado, y con 63 600 km², el sexto más extenso, superado por Amazonas, Vichada, Caquetá, Meta y Guainía.', 'cityCapitalId': 12, 'municipalities': 125, 'surface': 63612, 'population': 6887306, 'phonePrefix': '4', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
3,Ajiaco Santafereño," Sopa tradicional de Bogotá y el altiplano cundiboyacense, caracterizada por el uso de diferentes tipos de papa y la guasca como hierba aromática.","Papas sabaneras, criollas y pastusas, Pechuga de pollo, Mazorca, Guasca, Crema de leche, Alcaparras, Arroz blanco",https://apicolombiastorage.blob.core.windows.net/typicaldishes/3. Ajiaco Santafereno.png,5,"{'id': 5, 'name': 'Bogotá', 'description': 'Bogotá, oficialmente Bogotá, Distrito Capital\u200b (antiguamente, Santafé de Bogotá),\u200b es la capital de la República de Colombia y del departamento de Cundinamarca. Está administrada como distrito capital, y goza de autonomía para la gestión de sus intereses dentro de los límites de la Constitución y la ley.12\u200b18\u200b A diferencia de los demás distritos de Colombia, Bogotá es una entidad territorial de primer orden, con las atribuciones administrativas que la ley confiere a los departamentos', 'cityCapitalId': 167, 'municipalities': 1, 'surface': 1139, 'population': 8906342, 'phonePrefix': '1', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
4,Sancocho de Gallina,"Sopa tradicional del Valle del Cauca, ideal para reuniones familiares y celebraciones.","Gallina, Plátano verde, Yuca, Papa, Mazorca, Cilantro, Cebolla, Ajo",https://apicolombiastorage.blob.core.windows.net/typicaldishes/4. Sancocho de gallina.jpeg,31,"{'id': 31, 'name': 'Valle del Cauca', 'description': 'Valle del Cauca es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Cali. Está ubicado en las regiones Andina y del Pacífico, limitando al norte con Chocó y Risaralda, al este con Quindío y Tolima, al sur con Cauca y al oeste con el océano Pacífico. Con 4 600 000 habitantes en 2015 es el segundo departamento más poblado', 'cityCapitalId': 1093, 'municipalities': 42, 'surface': 22140, 'population': 4589278, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
5,Lechona Tolimense,"Preparación típica para celebraciones, consiste en cerdo relleno con arroz y arvejas, cocinado lentamente en horno de barro.","Carne de cerdo, Arroz, Arvejas, Aliños (ajo, cebolla, comino), Piel de cerdo crocante",https://apicolombiastorage.blob.core.windows.net/typicaldishes/5. Lechona Tolimense.png,30,"{'id': 30, 'name': 'Tolima', 'description': 'Tolima es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Ibagué. Está ubicado en el centro-oeste del país, en la región andina, limitando al norte con Caldas, al este con Cundinamarca, al sur con Huila y Cauca; y al oeste con Valle del Cauca, Quindío y Risaralda.6\u200b El río Magdalena atraviesa Tolima de sur a norte.', 'cityCapitalId': 1069, 'municipalities': 47, 'surface': 23562, 'population': 1346935, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
6,Arepas de Huevo,"Arepas fritas rellenas de huevo, típicas de la región caribeña, ideales para desayunos o meriendas.","Harina de maíz, Huevo, Aceite para freír, Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/6. Arepas de Huevo.jpg,4,"{'id': 4, 'name': 'Atlántico', 'description': 'El Atlántico es uno de los treinta y dos departamentos que, junto a Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Barranquilla. Ubicado en la región Caribe, limita al norte con el mar Caribe, al Oriente con el río Magdalena y al Sur y al Occidente con el departamento de Bolívar. Con unos 2 500 000 habitantes en 2015, es el cuarto departamento más poblado (por detrás de Antioquia, Valle del Cauca y Cundinamarca); con 3019 km² es el tercero menos extenso (por delante de Quindío y San Andrés y Providencia, el menos extenso) y con 815 hab/km² es el segundo más densamente poblado (por detrás de San Andrés y Providencia)', 'cityCapitalId': 144, 'municipalities': 23, 'surface': 3388, 'population': 2804025, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
7,Mazamorra Chiquita,"Sopa densa hecha a base de maíz, legumbres y carne.","Maíz pelado, Habas, Arvejas, Tocino o costilla de cerdo, Cilantro",https://apicolombiastorage.blob.core.windows.net/typicaldishes/7. Mazamorra Chiquita.jpg,7,"{'id': 7, 'name': 'Boyacá', 'description': 'Boyacá es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Tunja. Está ubicado en el centro-este del país, en la región andina, limitando al norte con Santander y Norte de Santander, al noreste con Venezuela y Arauca, al este con Casanare,8\u200b9\u200b al sur con Cundinamarca y al occidente el río Magdalena con los departamentos de Caldas y Antioquia.', 'cityCapitalId': 217, 'municipalities': 123, 'surface': 23189, 'population': 1259601, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
8,Sobrebarriga al Horno,"Carne de res cocida al horno, acompañada con papas, arroz y ensalada.","Sobrebarriga de res, Ajo, cebolla y tomate, Papa criolla, Arroz blanco",https://apicolombiastorage.blob.core.windows.net/typicaldishes/8. Sobrebarriga al Horno.jpg,15,"{'id': 15, 'name': 'Cundinamarca', 'description': 'Cundinamarca es uno de los 32 departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Bogotá, la capital del país. Está ubicado en el centro del país, en la región andina, limitando al norte Boyacá, al este y al sur con Meta, al sur con Huila y al oeste con Tolima y Caldas. Enclavado en su territorio se encuentra el Distrito Capital de Bogotá, al que rodea excepto por su límite suroriental.', 'cityCapitalId': 167, 'municipalities': 116, 'surface': 23071, 'population': 2473634, 'phonePrefix': '1', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
9,Arroz Atollado,"Plato típico con arroz cocido mezclado con cerdo, pollo y verduras","Arroz, Costilla de cerdo, Pollo, Hogao, Arvejas y zanahoria",https://apicolombiastorage.blob.core.windows.net/typicaldishes/9. Arroz Atollado.jpg,31,"{'id': 31, 'name': 'Valle del Cauca', 'description': 'Valle del Cauca es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Cali. Está ubicado en las regiones Andina y del Pacífico, limitando al norte con Chocó y Risaralda, al este con Quindío y Tolima, al sur con Cauca y al oeste con el océano Pacífico. Con 4 600 000 habitantes en 2015 es el segundo departamento más poblado', 'cityCapitalId': 1093, 'municipalities': 42, 'surface': 22140, 'population': 4589278, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
10,Tamal Tolimense,"Masa de maíz rellena de carne y vegetales, envuelta en hojas de plátano.","Harina de maíz, Carne de cerdo o pollo, Papa, Zanahoria, Hojas de plátano",https://apicolombiastorage.blob.core.windows.net/typicaldishes/10.Tamal Tolimense.jpg,30,"{'id': 30, 'name': 'Tolima', 'description': 'Tolima es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Ibagué. Está ubicado en el centro-oeste del país, en la región andina, limitando al norte con Caldas, al este con Cundinamarca, al sur con Huila y Cauca; y al oeste con Valle del Cauca, Quindío y Risaralda.6\u200b El río Magdalena atraviesa Tolima de sur a norte.', 'cityCapitalId': 1069, 'municipalities': 47, 'surface': 23562, 'population': 1346935, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
